município,ag_cs,ag_h,consult_mgf,enf_cs,med_cs,pop_s_medico,vacinacao
Alfândega da Fé,75.5,28.9,3.6,1.9,0.9,19.7,96.8
Amares,47,15.1,2.6,0.5,0.6,10.3,97.3
Braga,51.8,7.5,2.4,0.6,0.7,0.9,94.6
Bragança,81.4,6.8,2.5,0.9,0.9,0.4,94.4
Gondomar,20.9,12.7,3.2,0.6,0.7,0.1,97.4
Maia,20.6,9,2.5,0.5,0.6,0.8,96.8
Matosinhos,16,6.3,2.8,0.6,0.7,1.6,97.2
Monção,51.3,43.8,3.1,0.9,0.8,0,97.9
Paredes,,,,,,,
Penafiel,47.4,9,3.1,0.5,0.6,0,81.2
Porto,12.9,6,2.3,0.7,0.8,3.7,95.7
Póvoa de Lanhoso,213.6,18.2,2.8,0.6,0.6,0,97
Santo Tirso,30.5,8.6,3.4,0.7,0.7,0,99.1
Valença,,,,,,,
Valongo,17.9,6,2.8,0.6,0.7,0.4,97.9
Viana do Castelo,27.5,8.4,3.4,0.7,0.9,0.2,96.6
Vila Nova de Famalicão,26.3,7.8,2.4,0.6,0.7,0.4,98.6
Vila Pouca de Aguiar,,,,,,,
Vila Real,51.6,7.3,3,0.7,0.9,0.4,97.6
Alenquer,-1,-1,,,,,
Coimbra,29.2,7,3.1,0.9,1.3,3.6,92.6
Figueira da Foz,34.8,10.7,3,0.8,1,5.3,91.6
Guarda,36.4,8.2,2.2,1.4,1.2,3.1,96.4
Lourinhã,39,17.9,2.7,0.6,0.4,26.2,97
Lousã,36.1,27.7,3.6,0.8,1.2,9.7,94.6
Miranda do Corvo,33.7,21.8,3.3,1,1.1,0.2,93.4
Pombal,66.6,11.2,2.7,0.8,0.8,0.5,96.6
Soure,61.8,25.4,3.4,0.9,1,7.4,91.1
Tábua,45,49.4,2.8,1,0.9,6.6,91.5
Torres Vedras,29.3,9.2,2.4,0.7,0.6,19.8,92.6
Alcochete,,,,,,,
Almada,19.9,7,2.7,0.7,0.6,18.9,94.8
Amadora,12.4,6.4,1.9,0.7,0.5,41.3,91.2
Barreiro,18,3.4,3,0.9,0.6,23.7,96.2
Lisboa,13.9,4.8,2,0.7,0.7,26.6,91.5
Loures,23.8,10.9,2.3,0.6,0.5,22.7,94.5
Montijo,21.2,6.5,2.1,0.7,0.4,28.8,91
Odivelas,14.8,7.3,2.2,0.7,0.6,22.3,90.3
Oeiras,20.4,6.1,2.1,0.7,0.6,17.3,94.4
Palmela,27.8,14.6,2.5,0.8,0.6,23.4,95.6
Seixal,17.7,11.9,3.1,0.7,0.5,22.2,93.5
Sesimbra,24.3,23.1,2.7,0.7,0.5,14.4,95.4
Setúbal,19.5,7.2,2.6,0.7,0.4,39.6,95.3
Vila Franca de Xira,15.1,8.8,1.4,0.6,0.5,19.3,95.6
Almodôvar,33.9,58.1,3.1,1.6,0.7,0,96.7
Alvito,9.8,37,3.3,1.8,0.9,0,100
Avis,16.9,50.4,4.4,1.8,0.5,23.8,100
Azambuja,30.1,18.2,2.6,0.8,0.4,42.9,97
Barrancos,6.4,63.4,3.9,2.1,1.4,0.3,100
Beja,18.3,6.2,2.9,5.4,2.9,3.2,97.5
Chamusca,27.8,31.9,4.1,1.6,0.5,5.8,92.9
Cuba,21.6,21,3.2,3.7,1.4,0.1,100
Golegã,20.1,14.8,4.1,0.7,0.6,3.9,100
Grândola,36.9,52.5,2.4,1.5,0.9,13.3,97.9
Odemira,91.7,55,1.9,1.3,1,23.3,89.2
Serpa,29.9,11.9,3.7,2,0.9,16.6,93.3
Viana do Alentejo,10.3,25.6,3.6,1.7,1.1,0.2,94.1
Vidigueira,8,23.7,3.8,1.4,0.8,0,100
Castro Marim,47.4,37.1,3,1.4,0.6,3.6,94.7
Lagoa,16,9.4,2.2,1.1,0.6,13.5,92
Loulé,30.6,19,1.9,0.8,0.5,13.7,90.9
Monchique,44.7,21.5,2.4,1.5,0.4,46.1,97.8
Portimão,22.5,5.3,2,0.8,0.6,25.6,89.7
Tavira,32.3,26.1,2.6,1.2,0.7,6.2,94.2
Calheta (Açores),-1,-1,,,,,
Lagoa (Açores),17.2,12.7,1.4,1.6,0.9,6,99.9
Ponta Delgada (Açores),32.2,9.6,1.4,1.6,0.9,20.2,99.9
Ribeira Grande (Açores),29.9,19.4,1.2,1.9,0.7,0.4,99.9
São Roque do Pico (Açores),27.4,-1,3.2,5.3,1.2,0.1,99.9
Porto Santo (Madeira),33.4,-1,1.6,4.8,0.8,6.8,100