município,abs_eleicoes,desemp_j,desemp_ld,id_idosos,idosos_sos,i_env,nem_nem,rendimento,rsi
Alfândega da Fé,49.2,6.6,4.9,70.2,20.9,464,22.7,1226.7,32.4
Amares,53.2,3,1.5,32.8,14.9,166.2,13,1586.4,13
Braga,45.6,3,1.8,26.8,16.3,131.5,12.3,1593.5,14.5
Bragança,60.8,3.2,1.5,46.2,19.7,260.5,13.8,1933.3,19.8
Gondomar,49.9,3.6,1.9,32.3,17.8,171.6,16.9,1520.7,43.9
Maia,44.6,2.4,1.4,28.9,17.4,141.4,13.8,1660.1,30.9
Matosinhos,48.4,2.5,2.8,35.5,19.3,182.6,16.6,1562.3,38.9
Monção,59.1,1.6,1.1,60.6,20.5,353.7,12.8,1434.3,9.4
Paredes,,,,,,,17.6,,
Penafiel,43.2,3.3,2.1,25.9,16.8,132.5,14.4,1255.1,30.5
Porto,45.8,2.6,3.3,41.5,26.2,227.8,18.1,1756.8,80.5
Póvoa de Lanhoso,48.4,3.3,2.3,34.2,15.8,183.4,13.8,1204.9,12.5
Santo Tirso,47.1,3.1,2.6,38.2,15.2,227,11.5,1421.6,21.1
Valença,,,,,,,17.1,,
Valongo,50.6,3,2.8,29,17,144.3,15,1415.3,41.6
Viana do Castelo,50.6,1.9,1.1,39.8,17.9,210.3,12.7,1258.3,17.2
Vila Nova de Famalicão,43.6,2.7,1.3,29.2,14.9,153.6,10.9,1538.9,13.4
Vila Pouca de Aguiar,,,,,,,21.7,,
Vila Real,49.8,5.5,3.9,36.5,18.9,195.3,13.3,1566.8,34.8
Alenquer,,,,,21,,13.6,,
Coimbra,49.1,2.9,1.5,40,22.2,215.1,12.7,1344.2,26.7
Figueira da Foz,52.3,4.3,1.7,46.7,21.6,253,16.1,1473.2,30.2
Guarda,48.2,3.5,2,39.8,20.6,225.9,12.9,1459.4,30.5
Lourinhã,49.8,2.9,1.2,41.6,21.3,189.7,15.1,1394.4,21
Lousã,51.7,3.5,1.6,35.8,21.7,172.3,14.4,1467.5,28.6
Miranda do Corvo,50.4,3.8,0.9,43.2,21,250.5,13.6,1286.1,15.8
Pombal,57.8,2.6,1.3,48.8,22.3,249.4,11.6,1362.3,16.2
Soure,51.2,2.7,1.6,59.4,22.3,328.1,12.2,1132.1,12
Tábua,51.4,4.5,2.3,50.4,20.5,267.3,13.3,1279.7,22.3
Torres Vedras,47.8,2.5,1.2,35.6,20.5,172,12.6,1414,15.7
Alcochete,,,,,,,14.9,,
Almada,50.8,1.6,1.9,38.1,25.3,174.2,18,1593.4,45.5
Amadora,42,2,1.3,34.9,27.5,156.4,18.8,1638.6,33.2
Barreiro,48.5,3,2.6,41.7,25.9,194,18.6,1569.1,47.2
Lisboa,45.2,1.9,1.7,36.8,30.4,179.4,15.8,1868.5,48.7
Loures,48.1,2.1,1.7,34.7,22.5,149.6,17.3,1506,29.2
Montijo,54,2.9,2.3,28.8,23.4,115.9,16.9,1465.3,39
Odivelas,50.8,1.3,1,32.6,23.1,138.4,15.3,1493.9,24.6
Oeiras,43.3,1.2,1.3,38.9,26.3,169.8,13.6,1809.8,13
Palmela,53.4,1.4,1.1,32.9,19.1,145.7,14.8,1584,15.5
Seixal,51.6,2.1,1.5,33.8,20.5,146.3,16.9,1409.2,32.6
Sesimbra,54.3,1.7,1.1,31.6,20.8,136.5,15.7,1652.8,27
Setúbal,55.5,2.8,1.7,36.8,23.7,162.7,17.8,1663.7,36
Vila Franca de Xira,48.7,1.9,1.2,27.9,22.3,121.5,14.7,1555,19.1
Almodôvar,50.6,2.9,1.7,57.8,23.5,299.6,13.7,1041.4,16.9
Alvito,48,6.4,1.3,52.6,20.2,233,15.9,1236.7,27.4
Avis,40.7,7.9,3.3,58.6,24.2,292.1,20.3,1242,60.6
Azambuja,50.8,2,0.8,37.2,22.2,180.2,18.5,1227.9,23.4
Barrancos,51.1,12.2,5.8,45.6,25.3,225,19.3,1147.7,47.3
Beja,50.8,4.8,2.5,37.8,24.3,166.5,17.2,1616,53
Chamusca,50.2,3.2,1.1,54.6,24.1,291.9,13.8,1057.3,15.7
Cuba,46.5,6.8,3.5,44.4,22.6,202.4,16.3,1202.1,43.2
Golegã,49.4,-1,0.7,49.3,23,260.2,11.2,1344.1,17.4
Grândola,52.9,2.4,1.5,45.9,23.9,226.8,17.8,1417.6,20.9
Odemira,50.3,3.7,1.2,33.7,26.3,226.8,14.1,1681.2,14.6
Serpa,51.4,6.1,3.3,46.9,22.9,244.9,21.2,1384.7,57.9
Viana do Alentejo,53.1,4.5,2.3,42.9,21.7,203.4,14,1131.3,28.6
Vidigueira,49.9,4.8,3.9,47.1,22.9,217.8,20.9,1485.1,65.8
Castro Marim,56.1,4.2,1.2,57.5,23.6,296.9,22.9,1128.3,32.5
Lagoa,54.1,6.8,1,37.2,21.9,172.7,24.1,1277.6,29.8
Loulé,61.6,4.4,1.1,37,21,172.9,21.8,1552.7,24.4
Monchique,43.6,4.2,2.4,59.8,25.5,334.4,21.5,1306.5,15.9
Portimão,56.5,6.4,1.4,35.5,24.8,156.8,21.7,1510.8,40
Tavira,54.6,2.1,0.8,49.6,21.9,252,20.5,1474.5,17.1
Calheta (Açores),,,,,20.5,,13.2,,
Lagoa (Açores),67.2,3.4,1.4,18.2,15.9,77.6,19.6,1490.6,107.8
Ponta Delgada (Açores),66.8,3.1,1.3,21.3,18.7,104.9,20.2,1408.5,100.7
Ribeira Grande (Açores),69.3,5.2,2,15.1,16,56.6,25.9,1213.4,180.6
São Roque do Pico (Açores),57.4,4.2,0.8,32.4,17.5,160.9,15.6,1227.2,22.6
Porto Santo (Madeira),48.8,5.3,3.7,26.9,21,166.5,20.7,1484.4,11.9