município,abandono_esc,analf,esc_obrig,pop_ens_sup
Alfândega da Fé,15.1,7.1,33.3,11.9
Amares,8.1,3.4,40.8,14.4
Braga,6.8,1.9,41.1,29.2
Bragança,7,4.7,37.7,25.5
Gondomar,10.5,2,44,17.9
Maia,8.5,1.6,42.2,27.5
Matosinhos,10,2.1,39.7,26.3
Monção,5.1,4.7,33.4,13.2
Paredes,,,,
Penafiel,9.8,3.4,41.4,12.6
Porto,10.5,1.9,35.7,37.5
Póvoa de Lanhoso,12.7,4.7,36.8,11.8
Santo Tirso,9.2,2.6,37,15.3
Valença,,,,
Valongo,10.3,1.9,43.8,18.9
Viana do Castelo,8.1,2.5,40.6,20.5
Vila Nova de Famalicão,8.5,2.3,41.2,16.4
Vila Pouca de Aguiar,,,,
Vila Real,7.1,3.3,38.9,26.4
Alenquer,13.6,3.2,,15.3
Coimbra,6,2,37.5,36.3
Figueira da Foz,9.3,3.4,42.2,19.8
Guarda,7.3,3.7,42,24.4
Lourinhã,17.2,3.3,41.3,14.8
Lousã,9.9,2.3,45,17.9
Miranda do Corvo,7.6,3.5,40.2,14.5
Pombal,9.5,5.8,38.8,13.2
Soure,8.8,6.4,40.4,13.3
Tábua,11.5,4.6,38.7,10.6
Torres Vedras,13,3,43.4,17.8
Alcochete,,,,
Almada,12.9,2,45.6,26.1
Amadora,15,2.4,45.8,23.5
Barreiro,12.9,2.2,47.3,20.4
Lisboa,11.5,2,35.1,44
Loures,13.6,2.2,45.4,22.4
Montijo,15.1,2.9,46.9,22.8
Odivelas,11.4,1.8,44.8,25.1
Oeiras,7.5,1.4,41.3,40.8
Palmela,11.8,3.3,46.3,21.3
Seixal,11.9,1.7,49.1,21.6
Sesimbra,10.5,2.1,49.2,19.6
Setúbal,13.4,2.6,47.4,22.6
Vila Franca de Xira,11.6,1.8,50.3,21.3
Almodôvar,8.4,8.7,41.2,9.5
Alvito,17.8,9.1,40.1,12.3
Avis,22.5,8.1,37.9,10.4
Azambuja,17.9,3.5,46.1,13.5
Barrancos,10.9,6.3,45.5,8.7
Beja,17.2,4.4,43.8,22.9
Chamusca,16.7,6.4,36.4,9.9
Cuba,15.8,5.6,42.2,14.4
Golegã,10.8,4.6,43.5,14.7
Grândola,15.8,6.6,42.2,11.6
Odemira,18.8,7.6,44.3,11.2
Serpa,17.3,8,38.9,11.9
Viana do Alentejo,14.6,7.8,41.6,12.6
Vidigueira,19.3,5.6,39.9,13
Castro Marim,17.3,5.8,40.7,13.2
Lagoa,19.4,2.7,47.9,15.9
Loulé,16.3,2.8,46.6,17.3
Monchique,16.4,7.4,37.7,12.6
Portimão,16.3,2.8,48,20.7
Tavira,17.2,4.3,43.1,17.2
Calheta (Açores),18.4,4.2,,10.4
Lagoa (Açores),29.6,3.4,40.3,13.6
Ponta Delgada (Açores),25.7,2.5,42.9,21
Ribeira Grande (Açores),35.3,4.2,40,11.8
São Roque do Pico (Açores),25.6,2.3,40.2,14
Porto Santo (Madeira),10,3.1,46.1,13.5