município,diabetes,hipertensao,int_dm,peso_adultos,peso_criancas
Alfândega da Fé,12.7,36.7,314.4,8.8,1.1
Amares,9.4,26.5,126.9,16.7,4.9
Braga,7.8,22,142.2,14.5,5.2
Bragança,9.6,25.7,341.7,12.1,2.2
Gondomar,10.5,26.6,224.8,17.1,4.6
Maia,8.9,22,244.5,15.4,3.2
Matosinhos,10.2,27.5,213.9,17.5,4.4
Monção,10.3,23.9,139.6,10.9,0.9
Paredes,,,235.6,,
Penafiel,7.7,20.5,257.2,10.2,4.1
Porto,8.8,24.3,446.8,13,3.8
Póvoa de Lanhoso,10,27.9,154.6,20.4,5.2
Santo Tirso,11,26.1,238.8,17.3,4.9
Valença,,,247.1,,
Valongo,25.9,64.6,314.1,15.8,0.4
Viana do Castelo,9.9,26.9,294.5,14.2,2.6
Vila Nova de Famalicão,9.5,23.3,151.4,16.7,3.6
Vila Pouca de Aguiar,,,267.3,,
Vila Real,9.2,23.7,211.4,15.2,3.1
Alenquer,,,217,,
Coimbra,8.9,26.5,336.9,28.8,3.8
Figueira da Foz,9.6,26.1,199,32.6,4.9
Guarda,7.6,21.2,354.3,19.2,3
Lourinhã,8.7,21.5,196.6,30.4,6.5
Lousã,10.3,1.6,363.3,44,4.2
Miranda do Corvo,12.5,33.6,297,14.6,3.3
Pombal,10.7,33.2,243.3,25,4
Soure,13.7,35.8,215.8,39,3.6
Tábua,12.1,35.6,249.6,33.1,4.7
Torres Vedras,8.7,23.7,150,28,6.9
Alcochete,,,141.8,,
Almada,7.7,23.4,172.7,28.4,5.4
Amadora,7.2,21.2,197.3,22.7,4.7
Barreiro,8.8,23.4,247.7,30.4,6.8
Lisboa,6.2,19.1,284.7,21.4,4.9
Loures,7.9,21.8,211,28.2,4.9
Montijo,7.8,20.3,154.4,18.6,2.7
Odivelas,6.9,20.2,194.4,21.7,3.3
Oeiras,6.5,21.9,139.5,27.7,4.5
Palmela,9.5,25.6,189.9,26.8,3.9
Seixal,7.9,24.7,145.3,35.7,5.1
Sesimbra,9,24,191.4,30.4,4
Setúbal,7.8,20.9,192.8,20.5,3.7
Vila Franca de Xira,7.4,22,209.7,33.5,4.2
Almodôvar,11.3,32.6,124.1,27,4.8
Alvito,13,41.1,214.9,39.7,6
Avis,13.5,30.9,166.7,19.4,4.5
Azambuja,9.9,26.9,220.5,23.4,3.4
Barrancos,14.5,37.8,126.5,26.6,0.4
Beja,10.7,26.5,202.8,17.8,3.4
Chamusca,14.9,42.6,225.7,40,6.6
Cuba,11.4,35.4,149.8,20.5,4.1
Golegã,12.4,33.1,296.5,34.9,5.1
Grândola,13.5,39.6,194.2,29,4.1
Odemira,9,27.8,322.8,24.3,3.8
Serpa,13.9,36.5,139.8,37.4,5
Viana do Alentejo,11.4,34.7,232.2,27.9,5
Vidigueira,12.7,35.7,160.7,33.3,5
Castro Marim,11.7,33.9,123.2,32.5,4.1
Lagoa,9.6,29.1,219.6,19.1,2.8
Loulé,6.5,27,174.5,21.1,3
Monchique,10.7,33.9,255.4,21.7,4.5
Portimão,8.6,25.2,194.9,20.4,4.9
Tavira,9,26.4,162.3,24,4.3
Calheta (Açores),,,0,,
Lagoa (Açores),8.2,18.3,1.4,24.9,10.4
Ponta Delgada (Açores),6.8,16.6,2.9,26.6,9
Ribeira Grande (Açores),10.9,23,3.1,39.3,13.3
São Roque do Pico (Açores),15.7,35.3,6,55.2,8.1
Porto Santo (Madeira),10.4,20.5,7.6,9.6,2.2